,CO,CO2,H,H2,H2O,N,N2,O,OH,OOH,C,COH,O2
Cu-Ti,2.536333,0.019686,0.29514405,-0.3098919,-0.915069,1.192615,-0.04065,-3.10954385,-1.25370305,-1.24904155,-38.98491646,-32.65713005,-36.9837437
Cu-V,-1.783387,0.591016,0.09556405,-0.5559119,-0.775539,-0.198915,-0.09048,-3.52339385,-1.04096305,-4.41892155,-40.84233346,-33.92098705,-37.0586307
Cu-Cr,-2.156827,0.500916,-0.03245595,-0.7574819,-0.666629,-0.526575,-0.13205,-3.30575385,-0.66733305,-4.40259155,-41.68130046,-34.45435405,-39.8403777
Cu-Mn,-2.399947,0.434876,-0.11564595,-0.9020019,-0.583509,-0.409005,-0.13575,-2.83972385,-0.26800305,-3.93592155,-41.96483646,-34.60414005,-36.3829037
Cu-Fe,-2.456267,0.371316,-0.18880595,-0.9347919,-0.499509,0.136965,-0.08337,-2.18530385,0.12780695,-3.38730155,-41.74544346,-34.36354705,-35.8835507
Cu-Co,-2.261227,0.322256,-0.20890595,-0.7811319,-0.366059,1.000535,0.07612,-1.45716385,0.47902695,-0.43396155,-41.06539946,-33.72533305,-37.5635867
Cu-Ni,-1.684007,-0.024524,-0.05860595,-0.3827219,-0.140569,2.258155,-0.00793,-0.63665385,0.82567695,-0.11085155,-39.68687946,-32.49799305,-34.4259367
Cu-Mo,6.558603,0.479866,-0.08066595,-0.7839919,-0.726729,-0.299835,-0.1922,-3.19707385,-0.65343305,-4.16206155,-41.63282046,-34.45914405,-36.7990277
Cu-Zr,-1.057917,0.511776,0.23896405,-0.2668719,-0.969249,1.753755,-0.02195,-2.99887385,-1.59252305,-1.52252155,-38.19778846,-31.97195205,-36.8665757
Cu-Nb,-1.683137,0.028816,0.03034405,-0.5207519,-0.903939,0.030355,-0.20462,-3.63231385,-1.34659305,-1.29484155,-40.51904746,-33.68822105,-37.2684447
Cu-Ru,-2.414697,0.399706,-0.25602595,-0.9472919,-0.335829,0.455065,-0.08535,-1.64921385,0.57842695,-0.34673155,-41.71890446,-34.23285805,-35.8689617
Cu-Rh,-1.994307,-0.014404,-0.21175595,-0.6376119,-0.178799,1.824655,-0.00966,-0.54654385,1.08066695,0.20408845,-40.53259746,-33.03833105,-34.4484447
Cu-Pd,-1.103027,-0.016404,0.10965405,-0.0955419,-0.086969,3.472595,-0.00971,0.44485615,1.50491695,0.28146845,-38.43538946,-31.14253305,-33.2141867
Cu-Hf,-0.270097,0.482586,0.21436405,-0.2585119,-1.078269,1.981945,-0.06649,-2.90761385,-1.66620305,-1.53046155,-38.23261346,-32.21296705,-37.0223107
Cu-Ta,-1.769197,0.614456,-0.05942595,-0.5289819,-0.908169,0.223285,-0.09889,-3.64043385,-1.41910305,-1.40578155,-40.55239346,-33.97307705,-40.9912007
Cu-W,-2.321497,0.514206,-0.28981595,-0.8585319,-0.738459,-0.515745,-0.08332,-3.57222385,-0.87275305,-4.39864155,-42.01441446,-34.98465805,-37.3067417
Cu-Re,-2.604937,0.456206,-0.42829595,-1.3884219,-0.580939,-0.551935,-0.05257,-3.02131385,-0.19239305,-3.56715155,-42.54825046,-35.26243405,-36.6840077
Cu-Os,-2.667927,0.420966,-0.53835595,-1.3970719,-0.445549,0.017465,0.03457,-2.03963385,0.51080695,-2.66623155,-42.40558946,-34.91774305,-35.8904567
Cu-Ir,8.883123,0.373946,-0.54273595,-1.1563519,-0.099989,1.291365,-0.01117,-0.87569385,1.07001695,-0.00695155,-41.39224746,-33.77014105,-34.8205847
Cu-Pt,-1.395217,-0.025994,-0.27871595,-0.1168219,-0.104589,2.905615,-0.01043,0.14342615,1.59767695,0.46407845,-39.51278346,-31.87991705,-33.4824207
